LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-07-29 21:19:45,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:45,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:45,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:45,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-22,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-21,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:46,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-20, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-24,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:47,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-22,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-20, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-20, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-21,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-20, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-20, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-20, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-20, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-20, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-21,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:47,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:47,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-23,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-21,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:48,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-24,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:49,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-22,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-25,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-24,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-21,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:49,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-23,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-27, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-27, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-27, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-25,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-25,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-25,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-25,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-27, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-20,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-24,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-24,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-22,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:50,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-21,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-23,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:51,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-21,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-21,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-21,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-27, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-27, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-24,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:51,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-23,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:51,1900-01-00 00:00:00,,5E:EE:FC:DC:AF:21,-23,,0.000000,0.000000,0.000,0.000,Client
2026-07-29 21:19:52,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:52,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-07-29 21:19:52,1900-01-00 00:00:00,MTN_4G_45C30F,98:A9:42:45:C3:0F,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
